experiment_id,run_id,scenario_id,ground_truth,classification,triggered,detection_status,total_events,stages_observed,detection_latency_ms,execution_status,timestamp_start,timestamp_end,rule_id,rule_version,correlated_sequence_id
exp-04a8b7bd-0b13-4ee7-b093-a2a78c0a14b6,eval-benign-001-run-a0950826-407f-47cb-a229-0e9f7be2d9c5,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.06299999949987978,SUCCESS,2026-09-18T15:09:52.674605Z,2026-09-18T15:09:52.675256Z,RULE-CHAINC2-001,1.0.0,504ffd12-795b-4156-8f1c-e4382e598bff
exp-34e48cb2-5a59-406e-bb88-1610dade114e,eval-benign-002-run-068e7d1b-f8d6-40d7-805d-3f515a1dec89,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.04550000448944047,SUCCESS,2026-09-18T15:09:52.675292Z,2026-09-18T15:09:52.675514Z,RULE-CHAINC2-001,1.0.0,83d9e05a-3c8f-4784-9d24-171d2899dd85
exp-ea0061ab-1127-4cdb-a72f-3647cf8fbd82,eval-benign-003-run-aef64bcc-0eb2-45c5-933f-ebf2e1f69d0e,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.029800001357216388,SUCCESS,2026-09-18T15:09:52.675539Z,2026-09-18T15:09:52.675673Z,RULE-CHAINC2-001,1.0.0,4cfe1e67-4162-44d6-ab77-bb9c0443fc64
exp-f236946d-5eab-4f4c-a354-a593bb4945c4,eval-benign-004-run-5e3c5865-1559-4ed5-a1f4-7bc9b95765fd,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.03029999788850546,SUCCESS,2026-09-18T15:09:52.675692Z,2026-09-18T15:09:52.675810Z,RULE-CHAINC2-001,1.0.0,ddac2a7a-e0ae-4da5-a779-0ab6e4ddcbfd
exp-2384bf25-c0e8-43a9-996c-d62da26cd02d,eval-benign-005-run-238070e7-3185-48e5-bacb-814df16147c2,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.0259000007645227,SUCCESS,2026-09-18T15:09:52.675826Z,2026-09-18T15:09:52.675935Z,RULE-CHAINC2-001,1.0.0,68231210-f5c7-46fe-99cc-c2cd7dae45ca
exp-16630b1a-5ba9-4ecc-91bf-80a2105ef050,eval-benign-006-run-f371c4eb-7d3d-4d7b-96f7-4ea66d2d3948,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.02890000178012997,SUCCESS,2026-09-18T15:09:52.675952Z,2026-09-18T15:09:52.676070Z,RULE-CHAINC2-001,1.0.0,87989659-93aa-4954-aaeb-99e323613784
exp-8ef6d4fd-0282-44e6-9278-ee949993a6ae,eval-benign-007-run-6fb15a0b-936e-440f-9f1d-22414c6c8627,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.026299996534362435,SUCCESS,2026-09-18T15:09:52.676085Z,2026-09-18T15:09:52.676189Z,RULE-CHAINC2-001,1.0.0,30df77e8-e710-4a23-95ac-3aa7f7d17e10
exp-7b67dfa9-011a-4b1f-b8a9-984cb9d5f239,eval-benign-008-run-4a942f34-bc14-4a7c-8f74-2db86daaa95d,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.025200002710334957,SUCCESS,2026-09-18T15:09:52.676203Z,2026-09-18T15:09:52.676304Z,RULE-CHAINC2-001,1.0.0,28ec9f11-86b1-43bb-8382-44437b2f70d2
exp-14d5e72c-293e-4fce-b2d8-f4d3072f58f5,eval-benign-009-run-01fe15ca-1ada-4622-9b98-aefbfebc474a,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.025200002710334957,SUCCESS,2026-09-18T15:09:52.676319Z,2026-09-18T15:09:52.676418Z,RULE-CHAINC2-001,1.0.0,58176b13-1748-4a9d-ac02-212228e5c615
exp-2fc07614-d259-409e-8377-067badf4a640,eval-benign-010-run-a9673c79-b0cf-4ec6-ba60-54ea3839d1b7,scenario_a_benign,benign,TN,False,not_triggered,3,endpoint;rpc;blockchain,0.025699999241624027,SUCCESS,2026-09-18T15:09:52.676432Z,2026-09-18T15:09:52.676530Z,RULE-CHAINC2-001,1.0.0,8628e352-53ff-4b0f-98df-61b1c74e9dc3
