experiment_id,run_id,scenario_id,detection_status,plan_status,requested_actions,executed_actions,verified_actions,containment_latency_ms,rpc_blocking_verified,beacon_blocking_verified,process_isolation_verified,legitimate_traffic_preserved,false_mitigation_applied,evidence_preserved,rollback_success,final_verdict
exp-prot-b1df2282-0c1e-47f3-aa79-4b2aecf69a14,run-prot-34d77387-0ee4-4466-8934-cbf09f5072f2,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-fd889a8b-4c34-4945-bb6a-93a5f346aaca,run-prot-01d21dca-78ce-471a-997d-6d7af4c9f71d,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-da2faecf-113c-498b-b1e3-be078da2332e,run-prot-9a678a2d-01a5-48ca-bb8e-f3447fa141fb,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-fe36997c-c49b-4029-bfd1-9f9f1e3b0f52,run-prot-5635e276-d516-49a4-923a-b3f38c0325f8,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-5c5a23c2-6730-4066-8caf-798e9bd3b4b4,run-prot-763af9c9-ef52-44cf-9d1f-460360fd951e,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-7373e063-df8c-4048-9cce-a443d0d48623,run-prot-07e7205a-b0be-4080-99fb-48ed93a7c19d,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-5b89dcd9-fcd0-4d3d-b0ee-df7776c140e7,run-prot-42787d0f-2047-4021-9a45-6a29914654ba,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-05dd80b5-2083-47b1-9ff2-37356b3e31e2,run-prot-bdcb205a-b4f6-4c96-aac3-35c04b3b6437,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-f682012e-2b6d-46a1-b195-2efa798056aa,run-prot-bec1d2ba-747e-4a0f-a7ae-bf0e1a2c79b1,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-6643c96a-e5f2-4cc6-a720-5da7470e1866,run-prot-8b49677b-168f-47fb-9f3d-7a3822c3fba8,scenario_a_benign,not_triggered,skipped,0,0,0,,,,,True,False,,,BENIGN_PRESERVED
exp-prot-cc3b6c0c-2906-452e-b482-f3fe2273ac9f,run-prot-466237fa-811b-4548-b305-19dccbb599b6,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,1.68,True,True,True,True,False,True,True,SUCCESS
exp-prot-8bf38dad-9b9c-4e2d-842e-cc93aee9af98,run-prot-526197b1-02b4-4338-85d2-8ad13586af55,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,2.376,True,True,True,True,False,True,True,SUCCESS
exp-prot-5594759a-50ca-4be3-bf98-996d9eeac2df,run-prot-57dc43ac-aeaf-4b6d-a7a9-2a0c6ccdeefa,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,3.564,True,True,True,True,False,True,True,SUCCESS
exp-prot-bcd58342-cb26-4bae-8ff4-9855c8a98ce0,run-prot-c4652873-6952-4648-9ad5-4f339e3128eb,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,1.648,True,True,True,True,False,True,True,SUCCESS
exp-prot-5a6f2645-00d7-4a5f-ba42-f8aa2fa42c11,run-prot-96c8a360-6f25-426b-985a-101e576a4a76,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,2.092,True,True,True,True,False,True,True,SUCCESS
exp-prot-5c26bafd-0274-42d0-94f3-d644c4216e36,run-prot-35ca576e-5fa2-426f-8145-e3454e205710,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,2.99,True,True,True,True,False,True,True,SUCCESS
exp-prot-c3971f16-594a-483c-a1da-51e275a97fab,run-prot-67a74faf-41eb-4873-8944-586d748d1812,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,1.83,True,True,True,True,False,True,True,SUCCESS
exp-prot-e57fb081-a440-44eb-a139-5e2b55158dcd,run-prot-cb3be3c0-9b34-4eea-b7f4-fcff3923dea0,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,1.636,True,True,True,True,False,True,True,SUCCESS
exp-prot-01c43232-f9e6-4db4-ae12-1717d69fe991,run-prot-4ad56101-4702-42c1-88ce-19cb5d4eb079,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,1.49,True,True,True,True,False,True,True,SUCCESS
exp-prot-e114aa4c-743f-4c44-9318-a15b582f33e6,run-prot-13a1bd04-aa45-44c8-842a-e1f0527a6970,scenario_b_synthetic_c2,triggered,rolled_back,4,4,4,1.609,True,True,True,True,False,True,True,SUCCESS
exp-prot-366d8285-c151-4459-8fa8-4bb93ead07fd,run-prot-4e8e8ce1-98a1-4a8b-b310-5c76b8cc8b9b,scenario_c_fault_injection,triggered,failed,1,0,0,0.429,,,False,True,False,,,FAULT_HANDLED
exp-prot-8b75259d-71d6-466e-b102-d4d172832ff6,run-prot-0f89105d-279c-45b0-a08a-61ba5ead6add,scenario_c_fault_injection,triggered,failed,1,0,0,0.172,,,False,True,False,,,FAULT_HANDLED
